observer,obs_count,city,year
452096,56,Los Angeles,2017
80445,54,Los Angeles,2017
426495,51,Los Angeles,2017
78365,51,Los Angeles,2017
260776,50,Los Angeles,2017
31677,47,Los Angeles,2017
280979,47,Los Angeles,2017
451486,46,Los Angeles,2017
452966,46,Los Angeles,2017
20685,45,Los Angeles,2017
421748,43,Los Angeles,2017
450825,43,Los Angeles,2017
30927,43,Los Angeles,2017
134150,43,Los Angeles,2017
100933,41,Los Angeles,2017
455388,41,Los Angeles,2017
73504,41,Los Angeles,2017
432265,41,Los Angeles,2017
69906,38,Los Angeles,2017
97486,37,Los Angeles,2017
23091,36,Los Angeles,2017
426945,36,Los Angeles,2017
426814,36,Los Angeles,2017
123490,36,Los Angeles,2017
452797,36,Los Angeles,2017
403949,36,Los Angeles,2017
365615,35,Los Angeles,2017
220046,35,Los Angeles,2017
416813,35,Los Angeles,2017
454000,35,Los Angeles,2017
354160,34,Los Angeles,2017
453288,34,Los Angeles,2017
177473,34,Los Angeles,2017
62523,34,Los Angeles,2017
427570,33,Los Angeles,2017
451445,33,Los Angeles,2017
452818,33,Los Angeles,2017
451929,33,Los Angeles,2017
451678,33,Los Angeles,2017
427782,32,Los Angeles,2017
415725,32,Los Angeles,2017
129599,32,Los Angeles,2017
269870,31,Los Angeles,2017
426017,30,Los Angeles,2017
221522,30,Los Angeles,2017
219791,29,Los Angeles,2017
108698,29,Los Angeles,2017
218473,29,Los Angeles,2017
453103,28,Los Angeles,2017
151402,28,Los Angeles,2017
385434,27,Los Angeles,2017
27625,27,Los Angeles,2017
452420,27,Los Angeles,2017
2340,26,Los Angeles,2017
239234,26,Los Angeles,2017
451852,25,Los Angeles,2017
451405,25,Los Angeles,2017
219543,25,Los Angeles,2017
151132,25,Los Angeles,2017
399403,25,Los Angeles,2017
239163,25,Los Angeles,2017
217386,25,Los Angeles,2017
452166,24,Los Angeles,2017
453331,24,Los Angeles,2017
449051,24,Los Angeles,2017
380284,22,Los Angeles,2017
174061,22,Los Angeles,2017
341925,22,Los Angeles,2017
67124,21,Los Angeles,2017
435588,21,Los Angeles,2017
219917,21,Los Angeles,2017
454423,21,Los Angeles,2017
279499,21,Los Angeles,2017
275281,21,Los Angeles,2017
1467957,21,Los Angeles,2017
439681,20,Los Angeles,2017
421844,20,Los Angeles,2017
427168,20,Los Angeles,2017
170619,20,Los Angeles,2017
455362,20,Los Angeles,2017
22542,20,Los Angeles,2017
46738,20,Los Angeles,2017
451492,20,Los Angeles,2017
454007,19,Los Angeles,2017
453020,19,Los Angeles,2017
424830,19,Los Angeles,2017
451341,19,Los Angeles,2017
451226,19,Los Angeles,2017
221981,19,Los Angeles,2017
22565,19,Los Angeles,2017
408214,19,Los Angeles,2017
454131,18,Los Angeles,2017
457115,18,Los Angeles,2017
252600,18,Los Angeles,2017
417211,18,Los Angeles,2017
147856,17,Los Angeles,2017
453104,17,Los Angeles,2017
373958,17,Los Angeles,2017
417072,16,Los Angeles,2017
402954,16,Los Angeles,2017
457137,16,Los Angeles,2017
340222,16,Los Angeles,2017
119921,16,Los Angeles,2017
451487,16,Los Angeles,2017
